Contact,Contenu,Sms provenant du : destinataire(1) / local (2),Non lu(0)/ Lu(1),Date du SMS
38656,Confirmation de votre rendez-vous GDF : le 08/05/2020 entre 10h et 16h.,2,1,06/05/2020 08:45:00
33612345252,Joyeux anniversaire Camille !!! Je te souhaite beaucoup de bonheur :),1,,06/05/2020 14:16:12
33612345252,Merci c'est trop gentil,2,0,06/05/2020 19:47:24
33612345244,Je peux pas te parler la; l'ambiance est pas terrible il est super énervé,1,,07/05/2020 01:18:36
33612345244,il ta pas encore frappé au moins ce connard ??? tu veux que j'appel les flics ?,2,1,07/05/2020 06:49:48
33612345244,non c'est bon c'est juste difficile pour lui au boulot en ce moment,1,,07/05/2020 12:21:00
33612345244,ok mais appel au moins le numero que je t'ai dit le 3919 c'est fait pour ça,2,1,07/05/2020 12:25:12
33612345244,ok je ferai ça; Merci carole pour ton écoute.,1,,07/05/2020 12:35:24
33612345235,Le patron veut faire une visio demain à 14h... c'est bon pour toi ?,2,1,08/05/2020 04:54:36
33612345235,Oui pas de problème,1,,08/05/2020 10:25:48
33612345235,Parfait,2,1,08/05/2020 15:57:00
82222,Tenter de gagner un chèque de 5000€ en envoyant CHANCE au 8 22 22,2,1,08/05/2020 21:28:12
33612345244,On peut s'appeller ce soir ?,1,,09/05/2020 02:59:24
33612345244,Oui bien sûr ,2,1,09/05/2020 08:30:36
19192,Votre colis Amazon est disponible dans votre point relais,2,0,09/05/2020 14:01:48
33788990011,La prochaine fois tu me parle comme ça je te casse les dents,2,1,09/05/2020 19:33:00
33788990011,Chérie je suis désolé je te jure je me suis calmé; je me suis emporté j'aurai pas du faire ça,2,1,10/05/2020 01:04:12
33788990011,Répond moi je m'inquiete,2,1,10/05/2020 06:35:24
33612345241,ça vous dit de passer manger à la maison ce weekend ?,2,1,10/05/2020 12:06:36
33612345241,Non ce weekend ça va pas être possible je t'expliquerai...,1,,10/05/2020 17:37:48
33612345241,Ah bon ok; rien de grave j'espère ?,2,1,10/05/2020 23:09:00
114,Bonjour; pouvez vous m'aider; mon mari est de plus en plus violent; je me suis enfermée dans la salle de bain,1,,13/05/2020 20:40:12
114,Bonjour madame; quelle est votre adresse ? Nous alertons la police immédiatement,2,1,13/05/2020 20:40:58
114,31 avenue Franklin Roosevelt; 4e étage,1,,13/05/2020 20:41:45
114,Très bien un équipage de police est en chemin; restez enfermée; ils seront là d'ici quelques minutes,2,1,13/05/2020 20:42:02
